id,carat,cut,color,clarity,size
182,0.62,Good,J,SI1,101.8908
183,0.51,Premium,E,VS2,85.718131
184,1.32,Ideal,J,VS1,216.3392
185,0.52,Ideal,I,VS2,86.52768000000002
186,0.37,Premium,E,SI1,63.133675
187,1.03,Premium,E,SI1,167.957955
188,0.25,Very Good,D,VS1,39.8588
189,0.31,Good,H,VS2,49.989744
190,0.3,Ideal,H,SI1,48.612564
191,1.0,Fair,F,VS2,161.15673600000002
192,0.71,Very Good,G,SI1,117.21024
193,0.9,Very Good,I,SI2,143.68245000000002
194,2.21,Ideal,G,SI2,364.46256000000005
195,1.5,Very Good,J,VVS2,242.788
196,0.91,Ideal,I,VS1,149.09636
197,0.23,Very Good,D,VVS2,38.09064
198,0.53,Ideal,D,VS2,86.52512000000002
199,1.0,Very Good,E,SI1,159.99125999999998
200,1.01,Very Good,E,VS2,162.50052
201,0.33,Ideal,G,VS1,54.53042399999999
202,0.31,Good,D,SI2,50.12552999999999
203,1.46,Very Good,I,SI1,230.31008000000003
204,1.07,Premium,H,SI2,170.686364
205,0.42,Very Good,H,VS2,69.608396
206,0.72,Very Good,D,VS1,113.9266
207,0.3,Ideal,E,VS2,49.04064
208,0.31,Premium,I,SI1,51.262908
209,1.32,Very Good,F,IF,213.028292
210,1.1,Very Good,H,VS2,178.15247999999997
211,1.53,Very Good,H,VS2,245.75265
212,1.0,Premium,I,VS1,164.0145
213,0.4,Good,E,SI1,64.217637
214,0.9,Very Good,G,SI2,141.71519999999998
215,0.5,Very Good,D,SI2,79.15168
216,0.35,Ideal,H,IF,58.99039999999999
217,0.52,Ideal,F,VVS2,86.0288
218,0.7,Good,J,SI2,113.586936
219,0.27,Very Good,F,VVS2,44.00577000000001
220,0.32,Premium,G,VS2,51.350336000000006
221,0.5,Ideal,H,VS1,83.647728
222,0.72,Ideal,D,VS1,119.312214
223,0.51,Good,G,VVS2,83.94192
224,0.34,Ideal,E,SI2,57.028388
225,1.03,Ideal,G,VVS2,169.79690000000002
226,0.33,Ideal,H,VS1,54.701625
227,0.7,Ideal,G,VS2,113.96352
228,0.31,Very Good,I,VS2,51.572118
229,2.06,Premium,G,SI1,351.380832
230,1.2,Premium,J,SI2,196.85666999999995
231,1.01,Good,G,VS1,165.95407500000002
232,0.32,Ideal,E,VS1,53.14813000000001
233,1.5,Very Good,I,SI2,235.417288
234,1.11,Premium,H,SI1,179.539696
235,1.2,Premium,G,SI1,191.352
236,0.24,Very Good,F,VVS1,39.3824
237,1.54,Premium,E,VS2,247.967016
238,1.55,Premium,H,VS2,250.83877
239,2.06,Premium,G,SI2,336.75015
240,0.32,Ideal,F,VS2,51.539124
241,0.52,Ideal,H,SI2,85.924883
242,0.54,Ideal,F,SI2,89.87668799999999
243,0.71,Good,E,SI1,116.01085
244,1.52,Ideal,I,VS2,250.194
245,0.3,Very Good,E,VS2,49.182336000000014
246,0.91,Ideal,E,SI2,149.423505
247,1.0,Ideal,F,SI2,162.07044000000002
248,0.93,Fair,G,SI1,147.32684399999997
249,0.31,Ideal,G,VVS2,50.361488
250,0.32,Ideal,E,VS1,54.136372
251,0.7,Very Good,E,SI1,111.3322
252,0.25,Very Good,E,VVS1,40.88555899999999
253,1.68,Ideal,H,VS2,281.888607
254,1.5,Good,G,SI1,233.619996
255,1.2,Very Good,G,SI1,194.839246
256,0.3,Very Good,E,VVS1,48.56783399999999
257,0.23,Good,D,VVS1,36.60346500000001
258,1.75,Premium,E,SI1,283.870692
259,0.73,Premium,I,SI2,119.394432
260,0.26,Ideal,H,VS2,42.48911999999999
261,1.17,Ideal,F,SI1,188.761694
262,0.23,Very Good,H,VVS2,37.74323
263,0.42,Ideal,D,VVS2,69.42969000000001
264,1.01,Very Good,G,SI1,163.253628
265,1.01,Ideal,E,VVS1,164.03769
266,0.34,Premium,G,VVS1,55.51739999999999
267,1.26,Very Good,I,VS1,205.24740000000003
268,0.39,Premium,F,VS1,64.06071
269,1.58,Premium,D,SI2,265.577585
270,1.01,Very Good,F,VS1,162.66272400000005
271,1.24,Very Good,E,SI1,200.11316
272,0.51,Ideal,E,VS2,84.959781
273,0.4,Ideal,D,VS1,67.04523600000002
274,0.5,Premium,G,VS1,84.258108
275,0.31,Ideal,E,VS2,50.14436
276,0.56,Ideal,H,SI1,93.28926599999998
277,2.0,Premium,I,SI2,330.81637200000006
278,1.23,Very Good,F,SI2,193.06686
279,1.01,Ideal,F,IF,165.220314
280,0.53,Very Good,H,VVS2,84.8926
281,0.32,Ideal,E,VS1,52.31512
282,0.51,Ideal,E,VS2,83.23224
283,0.42,Ideal,D,VVS2,68.515564
284,0.32,Ideal,D,SI1,53.25868800000001
285,0.31,Ideal,D,VVS2,51.20766
286,0.32,Very Good,G,VVS2,51.94329600000001
287,0.44,Premium,G,SI1,70.42020000000001
288,0.3,Very Good,H,VVS2,50.101632000000016
289,0.76,Ideal,H,VS2,125.422752
290,0.3,Ideal,E,VVS1,50.522007
291,0.5,Very Good,G,VVS2,81.52553999999998
292,2.02,Ideal,I,SI2,321.353006
293,0.31,Ideal,G,VS1,52.31431299999999
294,0.42,Premium,D,SI2,69.25217999999998
295,1.1,Ideal,H,SI1,184.73508
296,0.41,Ideal,F,SI1,66.16655100000001
297,1.02,Very Good,D,SI1,169.0065
298,1.04,Premium,E,SI2,170.917236
299,0.52,Ideal,G,SI1,86.23288800000002
300,1.07,Ideal,G,VS1,175.24786999999998
301,0.4,Ideal,E,VVS1,65.58145
302,0.38,Very Good,E,VVS2,62.824806
303,1.03,Ideal,F,VS1,169.48165
304,0.3,Very Good,G,SI1,51.044205
305,0.31,Premium,D,VS2,50.2713
306,0.51,Premium,E,VS2,83.22142500000001
307,2.01,Ideal,H,SI2,327.57372
308,1.21,Very Good,F,VS1,194.519241
309,1.23,Ideal,G,VS2,201.118912
310,1.01,Premium,H,SI1,164.328295
311,0.31,Premium,F,VS2,51.134748
312,0.4,Good,E,SI1,64.217637
313,0.9,Ideal,G,VS2,148.23193
314,1.23,Ideal,H,VVS2,203.03664000000003
315,1.19,Ideal,H,I1,196.427385
316,0.3,Ideal,G,SI2,49.068488
317,2.01,Good,E,SI2,322.545064
318,0.3,Premium,G,VS1,49.182336000000014
319,0.37,Very Good,F,VS2,60.190926
320,0.9,Very Good,H,VS1,145.042128
321,1.05,Very Good,H,VS1,168.0096
322,0.3,Very Good,D,VS1,49.34358
323,1.26,Ideal,F,VS2,210.09671
324,1.05,Premium,E,SI2,171.363065
325,0.32,Ideal,E,VS2,53.782118
326,0.38,Premium,D,VS2,62.064612
327,1.71,Good,D,SI1,268.91808
328,0.4,Ideal,D,VS1,65.63667600000001
329,0.27,Good,E,VVS1,43.55307
330,0.31,Good,E,SI1,50.476608000000006
331,1.01,Very Good,H,VS1,163.18763999999996
332,0.9,Ideal,I,VS2,147.40128
333,0.33,Ideal,G,IF,55.8107
334,0.41,Ideal,I,VS1,68.428503
335,0.3,Ideal,E,SI1,50.59518400000001
336,0.91,Very Good,G,SI2,147.498988
337,1.01,Premium,H,VS1,163.463256
338,0.55,Ideal,G,SI1,92.04192
339,1.03,Ideal,G,VVS2,168.7392
340,0.58,Ideal,G,VVS1,95.5152
341,0.41,Ideal,G,VS2,67.6609
342,1.02,Good,G,VS1,170.90034500000002
343,1.03,Premium,J,SI1,171.8392
344,0.5,Good,J,VS2,80.614908
345,0.52,Very Good,F,VS2,83.261318
346,0.7,Ideal,H,SI2,117.5349
347,0.31,Premium,E,VS1,49.713264
348,0.82,Very Good,F,VVS2,132.310125
349,0.41,Ideal,D,SI1,66.99647999999999
350,0.74,Ideal,H,VS1,120.845406
351,1.01,Premium,F,SI2,160.08462199999997
352,1.09,Premium,H,SI1,177.991632
353,1.09,Ideal,F,VVS2,176.11115999999998
354,2.01,Premium,D,SI2,329.510205
355,0.62,Ideal,G,IF,100.94708
356,0.69,Good,D,VVS2,109.66989
357,2.19,Very Good,I,SI1,356.23744800000003
358,1.0,Fair,I,I1,154.83812999999998
359,1.01,Very Good,F,SI2,163.92704
360,2.52,Premium,I,SI1,410.5036
361,0.51,Very Good,E,VS1,83.98416
362,1.02,Ideal,H,SI1,165.441782
363,0.7,Ideal,I,VVS2,112.24418399999998
364,0.9,Premium,D,SI1,146.847924
365,0.49,Good,D,VS1,81.58500000000001
366,2.01,Ideal,H,SI1,326.4315
367,0.31,Very Good,G,SI2,49.82754
368,2.0,Premium,I,VS2,321.5712
369,0.31,Very Good,G,VS2,50.56527
370,1.33,Ideal,H,VS2,222.699906
371,0.51,Premium,H,SI1,82.748952
372,0.31,Premium,F,VS2,50.25937
373,0.5,Good,E,SI1,79.657092
374,1.07,Ideal,H,VS1,179.112708
375,1.03,Premium,F,SI1,165.41322600000004
376,0.56,Ideal,E,SI1,92.5015
377,1.03,Ideal,F,VS1,172.22436
378,1.03,Very Good,G,SI1,169.1898
379,1.06,Ideal,G,VS1,171.77556799999996
380,0.27,Ideal,H,VVS2,44.261568
381,0.36,Ideal,E,SI1,58.814424
382,0.23,Very Good,D,VVS2,38.873688
383,1.0,Very Good,G,VS2,160.68293999999997
384,2.14,Fair,F,SI2,338.6736
385,1.0,Premium,G,VVS1,158.60864
386,0.42,Ideal,G,SI1,69.58049799999999
387,0.37,Premium,D,VS2,59.717277
388,0.32,Very Good,H,SI1,52.15595
389,0.9,Ideal,I,SI2,146.27536
390,0.9,Premium,E,VS1,148.204232
391,0.3,Very Good,G,VVS1,48.907725
392,2.0,Premium,I,VS1,324.36756
393,0.27,Ideal,E,VVS1,44.821245000000005
394,0.33,Ideal,E,VS1,55.06875000000001
395,0.71,Ideal,H,VS2,115.5704
396,1.06,Ideal,G,VS1,172.89667200000002
397,0.25,Ideal,F,VS2,41.333292
398,1.05,Premium,G,SI2,173.324484
399,1.04,Premium,E,VVS2,167.29236
400,0.34,Premium,E,VS1,56.765436
401,2.01,Good,G,SI1,323.60097
402,1.2,Very Good,H,SI1,198.79776
403,2.02,Very Good,I,VS2,328.7776
404,0.56,Ideal,H,SI1,91.33437
405,0.9,Very Good,I,SI1,148.322304
406,0.93,Premium,G,SI2,152.195472
407,1.07,Premium,F,SI2,178.65526400000002
408,1.01,Ideal,G,VS2,164.708796
409,1.01,Very Good,G,SI1,159.57018
410,1.01,Good,E,VVS2,162.788535
411,0.41,Very Good,E,VVS2,67.0358
412,0.63,Very Good,G,VVS2,101.427712
413,1.07,Fair,F,SI1,170.54723
414,1.01,Premium,G,SI1,161.240148
415,0.3,Ideal,F,VVS1,50.988456000000006
416,0.36,Premium,G,IF,57.357954
417,0.4,Premium,F,SI1,65.44044
418,0.54,Ideal,I,SI1,90.3672
419,0.52,Ideal,G,VS1,86.269264
420,1.07,Ideal,J,SI1,176.10912
421,1.06,Ideal,G,VS1,173.06067199999998
422,0.35,Premium,H,VVS1,56.391972
423,0.5,Very Good,D,VS1,81.96669
424,0.92,Good,E,SI1,146.31006
425,0.3,Very Good,F,SI2,48.24515
426,0.5,Ideal,D,VS2,82.35212800000001
427,1.05,Premium,G,SI1,167.342112
428,1.25,Ideal,H,SI2,203.698716
429,1.1,Ideal,F,VS2,179.302038
430,0.56,Ideal,I,VVS1,92.96053
431,0.72,Very Good,I,VS2,117.213096
432,1.18,Very Good,F,SI1,193.414545
433,0.9,Good,H,SI1,140.466456
434,0.36,Premium,I,IF,58.526904
435,0.25,Very Good,E,VVS1,42.232554
436,0.3,Good,H,VVS1,50.828778
437,1.51,Very Good,I,VS1,241.527104
438,0.26,Very Good,E,VVS1,42.34377
439,0.74,Very Good,I,VS1,121.02164
440,0.5,Ideal,G,VVS2,81.22622
441,0.3,Ideal,H,VVS1,49.183134
442,1.11,Very Good,F,VVS1,180.446721
443,0.3,Premium,F,VVS2,48.96797
444,1.05,Good,H,SI1,170.576878
445,0.63,Premium,D,VS1,102.564
446,0.51,Good,G,VVS2,83.681871
447,0.52,Ideal,G,SI2,88.596288
448,1.05,Premium,E,VS2,172.16549999999998
449,0.41,Fair,I,VS1,65.233476
450,0.5,Fair,E,SI2,76.33725
451,1.46,Very Good,F,SI1,229.858366
452,1.02,Premium,H,SI2,167.473656
453,0.35,Premium,D,SI1,57.80509599999999
454,0.41,Premium,F,VVS2,66.38413100000001
455,0.53,Ideal,G,VVS2,87.57112000000001
456,0.4,Premium,F,SI1,65.465232
457,0.28,Very Good,H,VS2,46.81034999999999
458,1.0,Ideal,G,SI1,164.19249000000002
459,0.7,Ideal,D,VVS2,113.460876
460,0.89,Ideal,F,SI1,145.56681
461,1.2,Very Good,D,SI1,193.58595000000005
462,0.4,Premium,D,SI1,65.70588000000001
463,0.72,Ideal,F,VS2,119.962744
464,1.25,Very Good,H,SI1,202.472985
465,0.42,Ideal,F,VVS2,68.81996000000001
466,1.01,Ideal,I,SI1,167.473656
467,1.5,Premium,F,SI2,246.935744
468,1.01,Very Good,H,SI1,162.15519600000002
469,0.51,Very Good,D,VS2,82.19033600000002
470,1.13,Ideal,G,SI2,184.494201
471,1.12,Premium,H,SI2,181.917776
472,0.9,Very Good,H,SI2,142.43932800000002
473,1.21,Very Good,G,VVS2,206.083485
474,0.47,Good,E,SI1,78.39719999999998
475,1.22,Premium,J,VS1,201.4585
476,1.0,Ideal,G,SI2,159.97490599999998
477,1.03,Very Good,H,SI1,163.662043
478,0.31,Ideal,G,VS1,50.34096
479,0.38,Ideal,J,VVS2,63.34848
480,0.42,Very Good,I,VS1,68.37312
481,0.72,Premium,H,VVS1,117.6519
482,0.7,Ideal,D,VS1,115.771392
483,0.46,Fair,G,SI1,71.91167999999999
484,0.5,Very Good,H,VS2,83.22048
485,1.33,Fair,G,SI2,205.72902
486,0.72,Very Good,J,SI1,119.743304
487,0.58,Very Good,E,IF,95.350257
488,1.53,Ideal,H,VVS2,247.68324
489,0.52,Ideal,E,VS2,85.86336
490,0.31,Premium,D,SI1,50.406396
491,0.79,Ideal,I,VS1,128.75068800000005
492,0.54,Ideal,D,SI1,88.41315000000002
493,0.35,Ideal,E,VS1,57.15539999999999
494,1.02,Very Good,I,VS2,170.05919400000002
495,1.25,Premium,G,SI2,203.91686400000003
496,0.41,Ideal,G,VVS1,67.803344
497,1.01,Premium,D,SI1,163.0608
498,1.5,Ideal,E,VS2,240.26355
499,1.01,Ideal,H,VS2,162.56
500,0.7,Very Good,E,VS2,116.25049799999998
501,2.02,Good,F,SI2,321.913176
502,0.91,Very Good,E,SI2,149.99635200000003
503,0.6,Very Good,D,SI1,97.68064
504,0.41,Premium,F,VS1,67.377204
505,1.2,Premium,H,SI1,195.24432
506,0.3,Ideal,I,VS1,48.954640000000005
507,1.2,Ideal,F,VS2,197.9376
508,1.08,Premium,H,SI1,175.63087999999996
509,0.9,Good,H,SI2,138.4866
510,0.55,Very Good,I,VS2,91.97496
511,2.19,Good,I,SI2,352.52135100000004
512,1.51,Premium,J,VS2,245.53475200000003
513,0.31,Very Good,E,VVS1,51.22656000000001
514,1.0,Very Good,E,VS1,165.068397
515,0.73,Very Good,E,SI2,121.767867
516,1.01,Fair,D,SI1,147.798396
517,0.33,Premium,H,VVS2,53.36044999999999
518,1.11,Ideal,G,VS1,182.5824
519,0.52,Very Good,D,VS1,87.20408
520,0.31,Premium,H,IF,50.59518400000001
521,0.73,Ideal,G,VS1,120.86543
522,0.56,Ideal,D,VS2,91.22686199999998
523,1.12,Premium,H,SI2,180.79754
524,1.0,Ideal,E,SI1,167.543244
525,0.87,Premium,F,SI2,141.20157999999998
526,0.75,Premium,E,SI1,128.0208
527,1.01,Very Good,F,SI1,161.474661
528,0.35,Ideal,J,IF,59.963192
529,0.42,Ideal,E,SI1,67.737306
530,0.31,Premium,F,VVS1,49.437424
531,0.57,Ideal,G,VVS2,92.65672
532,1.5,Premium,H,SI2,243.006848
533,0.53,Premium,F,VS2,86.29764
534,0.55,Ideal,G,VVS2,90.6444
535,1.66,Premium,D,SI1,269.686
536,1.1,Ideal,F,VVS2,181.24176
537,0.9,Good,H,VS2,136.79657999999998
538,1.59,Premium,J,VS2,257.94731
539,2.2,Ideal,J,SI1,363.221172
540,0.73,Ideal,G,VS2,120.430842
541,0.42,Good,D,SI2,67.554784
542,1.13,Ideal,E,VVS2,188.103096
543,1.16,Premium,G,SI2,184.721832
544,0.92,Ideal,D,SI2,153.30424
545,0.31,Ideal,H,SI2,52.31512
546,0.53,Ideal,E,VS2,87.024
547,0.27,Very Good,F,VS1,44.99352
548,0.33,Ideal,D,VS2,54.359865000000006
549,1.14,Ideal,G,SI2,188.79927
550,0.31,Ideal,D,SI1,51.23174400000001
551,1.09,Ideal,D,SI2,176.380032
552,0.53,Ideal,G,IF,86.79711599999999
553,0.23,Fair,G,VVS2,36.164763
554,0.32,Good,F,SI1,53.26156
555,0.4,Ideal,H,SI1,64.25370000000001
556,0.72,Premium,I,VVS2,117.29310000000002
557,1.91,Fair,I,VS1,306.25938
558,0.87,Premium,J,SI1,143.200764
559,0.53,Ideal,D,VS2,87.52640000000001
560,0.7,Good,D,VVS2,113.991834
561,0.4,Very Good,J,SI1,67.412488
562,1.01,Very Good,G,VVS2,163.11551999999998
563,1.14,Ideal,G,VS2,184.945152
564,0.32,Very Good,E,SI1,52.827504
565,0.37,Ideal,E,VS2,60.012414
566,0.77,Good,F,VS2,125.322708
567,0.4,Good,F,VVS1,63.715938
568,1.12,Very Good,H,SI1,181.919586
569,0.71,Ideal,E,VS1,117.98425
570,0.35,Ideal,F,VS2,58.97437
571,1.2,Premium,G,VS1,193.036008
572,0.3,Ideal,H,VS2,49.552932
573,1.2,Premium,G,VVS2,187.6896
574,0.9,Ideal,E,SI2,149.66721
575,0.33,Premium,E,VS1,55.237578
576,1.0,Premium,E,VS2,152.77875
577,0.53,Ideal,G,VS1,87.90728800000001
578,1.03,Ideal,H,VS2,167.241648
579,2.0,Fair,J,SI1,308.89391
580,1.22,Premium,E,I1,200.726064
581,0.7,Very Good,E,SI1,113.654016
582,0.9,Premium,D,SI2,145.99116
583,0.91,Very Good,G,SI1,144.610704
584,0.28,Very Good,F,VS1,47.18142000000001
585,0.23,Good,E,VVS1,37.7325
586,0.33,Ideal,G,VVS2,54.80353
587,1.2,Very Good,H,VS2,190.61259200000003
588,0.4,Ideal,J,VVS2,67.26118000000001
589,0.56,Very Good,E,VS2,91.525464
590,0.91,Premium,G,SI1,146.18304000000003
591,1.51,Ideal,E,VS2,249.944706
592,1.37,Premium,H,VS1,224.509264
593,1.2,Very Good,H,SI2,193.239
594,0.42,Ideal,G,SI1,69.80799
595,0.7,Ideal,D,SI1,114.965312
596,0.33,Ideal,G,VS2,54.136372
597,0.72,Very Good,D,VS1,118.37972
598,0.57,Ideal,D,SI1,93.70632
599,0.44,Very Good,J,VS1,71.68111200000001
600,1.53,Very Good,H,SI1,251.733888
601,0.24,Good,E,VVS2,37.8378
602,0.33,Ideal,G,VS2,54.86959600000001
603,0.55,Ideal,I,VS1,91.267312
604,0.35,Ideal,E,SI1,57.678884
605,1.03,Premium,I,VS1,168.944265
606,0.33,Ideal,G,VVS1,54.700800000000015
607,1.51,Good,H,VS2,238.78968
608,2.1,Good,H,SI1,336.64005000000003
609,0.75,Very Good,F,SI1,124.06035599999998
610,0.42,Ideal,F,SI1,69.28653600000001
611,0.8,Ideal,F,SI1,133.741524
612,0.52,Premium,G,VS1,86.19424000000001
613,0.5,Very Good,G,VS1,84.258108
614,2.06,Ideal,I,VS2,343.59231400000004
615,0.93,Premium,F,SI1,149.386984
616,0.7,Ideal,G,SI1,117.597216
617,1.01,Ideal,F,SI1,166.4036
618,0.32,Ideal,G,SI1,53.21316
