id,carat,cut,color,clarity,price,size
228,1.08,Very Good,E,SI2,8.223,174.758472
229,1.21,Ideal,H,VS2,8.68,194.49955
230,0.4,Premium,D,SI1,6.898,64.82898000000002
231,0.41,Ideal,D,SI2,6.735,66.867768
232,0.32,Ideal,D,SI1,6.628,52.877
233,0.58,Premium,E,SI1,7.249,94.91143199999999
234,1.1,Very Good,J,SI2,8.362,178.97021999999998
235,0.71,Good,F,VS1,7.847,115.617645
236,0.33,Very Good,F,VS1,6.649,53.863936
237,0.25,Premium,E,VS1,6.075,40.277184
238,0.25,Ideal,E,VS2,6.282,40.803
239,1.0,Premium,D,SI1,8.679,160.07675200000003
240,0.7,Very Good,F,VS1,8.024,114.44866000000002
241,0.32,Ideal,G,VS2,6.579,51.605767
242,0.51,Ideal,E,VS1,7.472,84.14693999999999
243,1.51,Ideal,H,VS2,9.354,243.13243500000002
244,2.03,Very Good,G,SI1,9.812,325.02284799999995
245,1.02,Ideal,I,SI1,8.463,166.4096
246,1.04,Very Good,G,SI1,8.531,171.313285
247,0.37,Ideal,F,VVS1,6.836,59.882517
248,0.43,Ideal,G,VS1,6.849,70.5672
249,0.3,Ideal,G,VVS2,6.745,49.828340999999995
250,0.5,Good,J,SI1,6.866,82.16516
251,1.56,Premium,G,SI2,9.089,257.234773
252,0.71,Very Good,E,VS1,8.009,113.885919
253,1.25,Ideal,H,SI2,8.497,202.9256
254,0.38,Ideal,H,SI2,6.234,63.12852
255,0.94,Premium,F,SI2,8.35,151.951569
256,0.35,Ideal,F,VS2,6.56,58.81329999999999
257,0.3,Very Good,H,SI1,6.223,48.139920000000004
258,0.41,Ideal,F,VS2,6.76,67.11987500000001
259,0.31,Ideal,G,VVS1,6.671,51.207660000000004
260,0.32,Premium,F,IF,6.985,51.998616000000005
261,0.36,Premium,H,VS2,6.592,59.24688
262,1.54,Good,H,VS1,9.284,252.56940000000003
263,0.41,Premium,E,SI2,6.526,66.55819500000001
264,2.01,Ideal,G,SI2,9.776,332.81539200000003
265,0.66,Very Good,H,VS1,7.59,105.72314399999999
266,1.02,Fair,I,SI2,8.243,157.20619200000004
267,0.52,Ideal,H,VVS1,7.501,85.819932
268,1.01,Good,G,VVS2,8.9,159.42326400000002
269,1.59,Premium,H,SI1,9.086,261.85868
270,0.6,Ideal,G,VVS2,7.761,99.545082
271,0.26,Ideal,E,VS1,6.114,42.904918
272,0.42,Ideal,I,VS1,6.65,70.2765
273,0.8,Very Good,J,SI1,7.707,130.362804
274,2.01,Fair,J,VS1,9.575,320.81702399999995
275,1.76,Very Good,J,SI2,9.111,290.33953199999996
276,1.63,Good,F,SI1,9.297,268.472223
277,1.24,Ideal,J,SI2,8.473,206.288316
278,0.58,Ideal,G,SI2,7.151,96.80987199999998
279,0.74,Ideal,G,SI1,8.049,120.92411099999998
280,0.36,Ideal,H,VS2,6.375,60.142311
281,0.3,Very Good,F,VS2,6.405,50.340147
282,0.71,Very Good,E,SI1,7.828,115.09163000000002
283,1.34,Premium,G,VS2,9.137,213.02758400000002
284,1.01,Premium,E,SI2,8.448,162.55040000000002
285,0.41,Ideal,G,VS2,6.967,66.586212
286,0.9,Very Good,D,SI1,8.404,145.99137599999997
287,0.31,Ideal,G,VVS1,6.649,52.552647
288,0.37,Premium,F,SI2,6.436,60.53599999999999
289,2.01,Ideal,J,SI1,9.442,321.5975
290,0.71,Premium,D,VS2,7.946,114.31210000000002
291,1.52,Fair,H,SI1,8.914,242.57909600000002
292,2.22,Premium,F,SI2,9.514,363.40945200000004
293,0.47,Very Good,F,SI1,6.929,75.94408499999999
294,1.0,Fair,E,SI1,8.328,155.40445799999998
295,2.25,Premium,I,SI2,9.316,364.89333000000005
296,0.55,Ideal,J,SI1,7.003,89.14811999999999
297,0.38,Ideal,G,VVS2,6.834,62.97495000000001
298,1.51,Good,G,VS2,9.362,242.20150399999994
299,1.21,Ideal,I,VS1,8.747,200.64024500000002
300,1.0,Good,E,VVS1,9.031,156.4992
301,0.33,Premium,E,SI1,6.611,53.267649
302,1.39,Premium,G,SI1,8.968,228.28806000000003
303,1.5,Very Good,H,SI2,8.894,237.1824
304,0.53,Ideal,G,VS1,7.491,87.467043
305,0.3,Premium,E,SI1,6.515,49.66790400000001
306,0.3,Premium,I,VVS2,6.265,49.49472000000001
307,0.51,Ideal,E,VS1,7.638,838.5024000000001
308,0.6,Ideal,E,VS2,7.691,98.72784000000001
309,0.5,Premium,H,SI2,6.865,80.72626999999999
310,0.61,Ideal,G,VS1,7.681,99.36377600000002
311,0.46,Ideal,J,VVS1,6.926,74.01063899999998
312,2.01,Good,H,SI1,9.725,320.95430500000003
313,1.07,Ideal,I,SI1,8.657,175.350015
314,1.01,Very Good,H,SI2,8.186,162.750744
315,0.41,Ideal,G,SI2,6.729,67.647254
316,0.45,Premium,E,VS1,7.156,72.37594000000001
317,0.42,Ideal,I,VVS1,6.784,68.45904
318,0.92,Ideal,I,SI1,8.109,151.65562500000001
319,1.01,Good,E,VS2,8.849,161.62181599999997
320,0.23,Very Good,D,VVS2,6.273,37.92
321,0.54,Ideal,F,VS2,7.391,89.544
322,0.55,Very Good,E,VVS2,7.783,93.43123200000001
323,0.4,Ideal,E,VVS1,7.242,64.584232
324,0.78,Very Good,H,SI2,7.761,127.05504
325,0.9,Very Good,F,SI2,8.122,145.615085
326,0.52,Very Good,D,VS2,7.511,84.43569600000001
327,0.7,Good,F,VVS2,7.909,112.5208
328,0.9,Good,H,VS1,8.368,145.08483999999999
329,0.9,Good,H,SI1,8.145,140.191506
330,1.51,Good,H,SI1,9.089,240.4071
331,1.0,Good,F,SI1,8.505,158.2548
332,1.08,Ideal,G,VS2,8.844,177.721128
333,1.72,Good,F,SI1,9.51,276.88032000000004
334,0.38,Ideal,F,SI2,6.718,63.58066
335,0.9,Good,F,VS2,8.368,145.59363
336,0.36,Very Good,H,VS2,6.368,60.927636
337,0.91,Ideal,F,SI2,8.443,148.47140000000002
338,0.37,Premium,G,SI1,6.562,59.439496
339,0.9,Premium,F,SI2,8.148,151.443072
340,0.5,Ideal,E,VS2,7.545,83.982595
341,1.51,Ideal,G,VVS2,9.599,244.33163999999996
342,0.32,Ideal,H,VS2,6.26,53.182395
343,0.51,Very Good,I,VS2,7.039,81.02982799999998
344,0.41,Ideal,G,VS2,6.967,67.377204
345,0.9,Very Good,E,SI2,8.146,145.251808
346,2.01,Ideal,I,SI2,9.421,330.01628800000003
347,0.32,Ideal,H,VVS1,6.842,51.871026
348,2.0,Good,G,VS2,9.792,317.215704
349,0.91,Premium,D,SI1,8.349,145.75514399999997
350,0.71,Premium,F,VVS1,8.116,119.39692799999999
351,1.53,Ideal,F,SI1,9.352,247.62040199999996
352,1.19,Premium,H,SI1,8.648,195.951636
353,0.62,Fair,F,SI1,7.403,106.0371
354,1.2,Very Good,I,SI1,8.559,193.92495000000002
355,0.7,Ideal,E,SI1,8.111,114.76608
356,0.39,Very Good,G,VVS1,6.75,63.89890500000001
357,0.33,Ideal,H,IF,6.766,53.771952000000006
358,0.53,Ideal,E,VVS2,7.729,87.94558800000001
359,0.34,Premium,E,VS2,6.613,55.36115200000001
360,1.02,Premium,F,VVS2,9.08,167.295744
361,0.5,Fair,F,I1,6.441,78.59011199999999
362,0.55,Ideal,G,VVS2,7.575,93.257568
363,0.3,Ideal,G,IF,6.76,50.08511
364,0.31,Ideal,G,VVS1,6.953,50.754563999999995
365,0.77,Good,E,VS2,8.099,124.98768
366,0.55,Good,F,SI1,7.244,89.522388
367,0.9,Good,D,VS2,8.451,142.199605
368,0.3,Premium,I,VS1,6.41,50.254805999999995
369,1.26,Premium,J,SI1,8.533,202.52380799999997
370,0.8,Ideal,F,VS2,8.305,131.20718
371,0.73,Premium,E,SI1,7.902,117.86688
372,0.27,Very Good,H,VVS2,6.223,44.390528
373,0.5,Very Good,D,SI1,7.27,82.35212800000001
374,1.0,Very Good,G,SI2,8.22,156.166164
375,0.9,Fair,I,VVS2,8.031,135.409329
376,0.52,Ideal,H,VS1,7.377,85.79687999999999
377,0.75,Very Good,E,VS2,8.247,125.88712000000001
378,0.71,Very Good,E,SI2,7.773,115.61852400000001
379,0.4,Very Good,D,SI1,6.829,65.88558900000002
380,1.56,Ideal,I,VVS2,9.257,252.23547999999997
381,0.29,Very Good,F,VVS1,6.498,47.3484
382,0.9,Very Good,D,VS1,8.658,146.98759199999998
383,1.03,Ideal,F,VS1,8.956,173.089168
384,1.07,Very Good,D,SI1,8.7,177.86435199999997
385,0.28,Very Good,E,VVS1,6.465,47.850829999999995
386,0.59,Ideal,G,VS2,7.417,95.88236
387,0.9,Ideal,D,SI2,8.292,144.0576
388,0.43,Very Good,H,VVS1,7.107,72.33138
389,2.0,Very Good,H,SI1,9.785,323.42912799999993
390,1.01,Premium,H,SI1,8.078,161.7968
391,1.33,Ideal,G,VS1,9.263,221.48896000000002
392,0.31,Ideal,D,SI1,6.528,51.75151499999998
393,0.41,Ideal,E,VVS2,7.125,67.43385
394,1.51,Premium,I,VS1,9.16,243.93096
395,0.3,Premium,I,VS1,6.41,48.88296
396,0.4,Good,J,VS1,6.447,62.673872
397,1.04,Fair,G,VS1,8.636,165.86625600000002
398,2.33,Premium,J,SI1,9.596,391.32599999999996
399,0.35,Ideal,D,VS2,6.72,56.63657999999999
400,1.26,Premium,I,SI2,8.547,202.1866
401,0.4,Premium,D,VS2,6.957,65.96836400000001
402,0.71,Good,I,VVS2,7.733,115.12223999999999
403,0.71,Premium,E,VVS1,8.237,114.64125600000001
404,1.12,Ideal,F,VVS2,9.173,182.67714
405,1.74,Ideal,J,VS1,9.323,292.30417
406,0.73,Premium,E,VS2,7.956,121.51295999999999
407,0.71,Ideal,F,SI2,7.834,117.856512
408,0.4,Ideal,E,VS2,6.816,65.933325
409,0.41,Very Good,H,SI1,6.526,66.35260799999999
410,0.38,Premium,F,VVS1,7.136,64.65984
411,1.33,Good,I,VS1,8.848,212.88134399999998
412,0.4,Ideal,G,VVS1,6.965,66.61305
413,0.7,Very Good,I,VVS1,7.829,114.04638
414,0.37,Ideal,G,IF,6.831,61.98266
415,0.59,Premium,F,SI1,7.661,95.311593
416,0.54,Premium,F,SI1,7.434,89.16752
417,0.7,Very Good,G,VS2,7.742,115.29533200000002
418,0.91,Very Good,H,SI1,8.294,151.84008
419,0.31,Good,F,VVS2,6.492,50.89741800000001
420,0.33,Very Good,G,VVS1,6.766,52.822236000000004
421,0.34,Ideal,I,SI1,6.129,55.74559500000001
422,1.1,Ideal,G,VVS2,9.129,184.33844000000002
423,0.5,Very Good,G,SI1,7.088,78.7083
424,0.31,Premium,G,VS2,6.299,50.68536
425,0.27,Very Good,D,VS1,6.153,44.51615999999999
426,0.31,Premium,I,SI1,6.286,51.82416
427,0.5,Good,F,VS2,7.277,77.06400000000001
428,1.26,Premium,G,SI2,8.683,208.93520999999998
429,1.41,Good,H,VS2,9.133,226.56409599999998
430,0.58,Ideal,F,VS1,7.59,95.049416
431,0.53,Premium,D,SI1,7.356,86.85984000000002
432,0.72,Very Good,I,SI2,7.553,117.080964
433,0.32,Ideal,J,VS2,5.974,51.94329600000001
434,0.3,Very Good,H,VS2,6.159,48.043856
435,1.31,Ideal,G,VS1,9.22,219.54268199999999
436,0.53,Ideal,H,SI1,6.982,87.516
437,0.34,Premium,G,SI1,6.477,55.161
438,1.0,Very Good,E,SI1,8.677,162.837345
439,0.53,Ideal,E,SI2,7.114,87.756262
440,0.5,Ideal,H,VS2,7.277,84.253422
441,1.43,Premium,D,VS2,9.538,233.797949
442,0.52,Premium,F,I1,6.768,85.762152
443,0.3,Very Good,I,SI1,5.945,49.20748
444,0.41,Good,H,VS2,6.592,65.70239999999998
445,0.7,Good,D,VS2,7.919,114.678668
446,0.93,Premium,F,SI2,8.194,154.027116
447,0.52,Ideal,J,SI1,7.241,84.54144000000001
448,0.9,Good,F,SI1,8.458,146.78820000000002
449,1.0,Fair,G,I1,7.782,152.65267999999998
450,1.09,Ideal,J,VS2,8.38,180.389544
451,0.5,Very Good,D,VS2,7.44,83.762448
452,0.36,Premium,D,VS2,6.748,58.76597999999999
453,0.56,Premium,D,SI2,7.236,92.275932
454,0.43,Premium,D,VS2,6.87,70.635561
455,0.4,Ideal,J,SI1,6.417,65.967192
456,1.3,Good,J,SI1,8.564,207.96336000000002
457,0.41,Very Good,D,VS1,6.926,67.4016
458,0.33,Good,I,SI1,6.098,54.33063999999999
459,0.7,Ideal,G,VS2,8.146,114.96672000000001
460,0.3,Premium,F,VS2,6.405,48.998234999999994
461,0.3,Premium,D,VS2,6.815,48.863904000000005
462,1.73,Ideal,I,VS2,9.508,284.456524
463,0.28,Ideal,G,VS1,6.194,47.16904999999999
464,1.02,Premium,G,SI1,8.441,164.42092800000003
465,0.93,Ideal,E,SI1,8.338,152.925625
466,0.5,Very Good,F,VS2,7.148,81.67038
467,1.19,Ideal,J,SI2,8.414,196.1018
468,0.24,Ideal,G,IF,6.326,39.6552
469,0.75,Premium,E,SI2,7.948,123.88219200000002
470,1.09,Ideal,D,SI2,8.596,179.783312
471,0.37,Ideal,H,SI1,6.279,61.587959999999995
472,0.7,Ideal,G,SI1,7.815,114.00711600000001
473,1.51,Ideal,G,VS1,9.594,245.053974
474,0.52,Ideal,G,VVS2,7.553,84.90496000000002
475,0.43,Ideal,G,VVS2,6.962,70.58205000000001
476,0.3,Ideal,E,VVS2,6.73,50.14436
477,0.9,Good,F,VS2,8.351,143.292942
478,1.99,Fair,H,VS2,9.782,327.85486
479,0.33,Premium,G,VS2,6.611,54.067233
480,0.41,Good,F,VVS2,7.048,67.36865800000001
481,0.5,Ideal,E,VS2,7.352,80.65008
482,0.7,Ideal,G,VS1,8.018,114.64010999999999
483,1.5,Premium,F,VS1,9.662,240.41163
484,0.27,Ideal,I,VVS2,6.375,44.943360000000006
485,0.3,Ideal,H,VVS2,6.38,50.03856000000001
486,0.36,Premium,D,VS2,6.748,59.5881
487,0.71,Very Good,E,SI1,8.046,118.00737000000001
488,0.9,Very Good,E,SI2,8.269,144.29184
489,1.21,Ideal,H,VS1,8.963,200.06572599999998
490,0.37,Premium,F,SI1,6.673,61.705644
491,0.34,Ideal,E,VVS2,6.717,57.154557000000004
492,1.35,Ideal,D,VS2,9.269,220.405412
493,0.5,Very Good,G,SI1,7.092,82.588896
494,0.31,Premium,F,VS2,6.687,51.03199399999999
495,0.7,Ideal,E,SI1,8.111,116.9872
496,0.39,Ideal,F,SI1,6.576,63.055043999999995
497,0.34,Premium,D,VS2,6.94,55.32254
498,0.4,Very Good,F,VS1,6.89,65.082192
499,0.38,Very Good,G,SI1,6.501,61.337087999999994
500,1.05,Very Good,F,VS2,8.826,169.69176000000002
501,1.46,Ideal,H,SI1,9.089,236.92574399999995
502,0.91,Ideal,J,VS1,8.092,147.809242
503,0.23,Premium,D,VVS2,6.522,37.92
504,0.79,Ideal,I,VS1,7.968,129.70807599999998
505,0.32,Ideal,E,VVS1,6.718,52.61174100000001
506,1.2,Good,D,I1,8.377,190.94342399999996
507,0.9,Very Good,D,SI1,8.264,147.93375
508,1.71,Very Good,J,VS1,9.252,276.44012000000004
509,1.01,Fair,E,SI1,8.338,151.88054700000004
510,0.72,Ideal,G,VS1,7.918,120.18700799999999
511,1.55,Very Good,I,VS1,9.279,258.418944
512,0.34,Ideal,H,VS1,6.64,55.42208000000001
